歌曲名,艺术家,专辑名
那是你离开了北京的生活,薛之谦,怪咖
中国奇谭01小妖怪的夏天,伴读·回声,中国奇谭 | 动画原声剧
中国奇谭03林林,伴读·回声,中国奇谭 | 动画原声剧
中国奇谭,李袈,你喜欢长发却留着短发
lost my pieces×0.8,江峙、Eliaukub,降调×
Lost my pieces (Piano Ver.),橋本由香利,とらドラ!オリジナル・サウンドトラック エクスとら! (龙与虎! 原声带  EXTRA)
兰亭序 (2022央视夏日歌会“这young的夏天”现场),周深,
好帅呦,老猫、王蓉,好帅呦
Highlight,吉克隽逸、王者荣耀,Highlight
风的季节 (片段),广东雨神、许华升,
风的季节 (东北版改编),张涵雨,
风的季节 (东北粤语版片段),房岩,
东北民谣 (Live),小沈阳,跨界歌王第五季 第6期
东北民谣 (Live),毛不易,合唱吧!300 第6期
东北的冬,小沈阳,猛虫过江 电影原声带
西海情歌,降央卓玛,终极纯色女声
崭露锋芒,李常超（Lao乾妈）,崭露锋芒
三两三 (二人转版),张小健,三两三（二人转版）
白狐 + see you again (Live),Deepain,
面壁者,G.E.M.邓紫棋,面壁者
此身,张远、王者荣耀,此身
琳,BOBBYNOPEACE、LSGCsikoriot、CashMoon,琳
暖一杯茶 (0.8x版),多谎话,
暖一杯茶,邵帅,暖一杯茶
迟来的情话,张家旺,迟来的情话
迟来的情话,王大毛,迟来的情话
迟来的情话(女声版),Zkaaai,迟来的情话 (女声版)
阿飞的小蝴蝶,萧敬腾,王妃
你,萧敬腾,狂想曲
超度我+兰若度母 (Live),福禄寿FloruitShow,
兰若度母,福禄寿FloruitShow,我用什么把你留住
兰若度母,福禄寿FloruitShow,我用什么把你留住
越过山丘 (Live),李雅,中国新歌声第二季 第6期
三两三 (Single Version),张小健,
三两三,张小健,
三两三,凌丰,三两三
莫问,王富贵,莫问
兰若度母,福禄寿FloruitShow,兰若度母
月下,苏运莹,月下
那是你离开了北京的生活,薛之谦,怪咖
lost my pieces×0.8,江峙、Eliaukub,降调×
Lost my pieces (Piano Ver.),橋本由香利,とらドラ!オリジナル・サウンドトラック エクスとら! (龙与虎! 原声带  EXTRA)
明明就 (Live),刘宪华,
明明就,周杰伦,十二新作
红尘客栈 (Live),田震,
红尘客栈,周杰伦,十二新作
蓝色雨 (Live版),温岚,时光音乐会2 第4期
直来直往 (Live版),孙悦,时光音乐会2 第4期
水中花,郁可唯,时光音乐会 第2期
小小 (Live版),胡夏,时光音乐会2 第4期
听见下雨的声音 (Live版),周深,时光音乐会2 第4期
一直很安静 (Live版),阿杜,时光音乐会2 第4期
阿珍爱上了阿强,五条人,梦幻丽莎发廊
兰亭序 (2022央视夏日歌会“这young的夏天”现场),周深,
兰亭序 (粤语),王十三,
星火,吉克隽逸、王者荣耀,星火
好帅呦,老猫、王蓉,好帅呦
Highlight,吉克隽逸、王者荣耀,Highlight
你爱我坏,小鬼阿秋,你爱我坏
梦里花,张韶涵,梦里花
梦里花,李泳璇（阿璇）,梦里花
东北民谣 (Live),小沈阳,跨界歌王第五季 第6期
东北民谣 (Live),毛不易,合唱吧!300 第6期
东北的冬,小沈阳,猛虫过江 电影原声带
崭露锋芒,李常超（Lao乾妈）,崭露锋芒
三两三 (二人转版),张小健,三两三（二人转版）
白狐 + see you again (Live),Deepain,
面壁者,G.E.M.邓紫棋,面壁者
此身,张远、王者荣耀,此身
暖一杯茶 (0.8x版),多谎话,
暖一杯茶,邵帅,暖一杯茶
迟来的情话,张家旺,迟来的情话
你,萧敬腾,狂想曲
阿飞的小蝴蝶,萧敬腾,王妃
超度我,福禄寿FloruitShow,超度我
越过山丘 (Live),李雅,中国新歌声第二季 第6期
三两三,张小健,
三两三,凌丰,三两三
莫问,王富贵,莫问
兰若度母,福禄寿FloruitShow,兰若度母
月下,苏运莹,月下
凌乱的脚步,韩红,满江红电影原声音乐
花火,韩红,满江红电影原声音乐
爱如火,那艺娜,爱如火
你不是真正的快乐 (Live),G.E.M.邓紫棋,我是歌手第二季 半决赛
黑夜问白天,泥人,听说你也爱听林俊杰
晚风心里吹,王赫野,晚风心里吹
我们的爱,于佰万,我们的爱
寂寞烟火,烟(许佳豪),寂寞烟火（烟嗓）
情色,司徒骏文、林嘉,情色
愿望,司徒骏文,愿望
大东北我的家乡,何玉,大东北我的家乡
那是你离开了北京的生活,薛之谦,怪咖
玫瑰少年,伦桑,玫瑰少年
Lydia,趙家豪gary,Lydia
怎么了,郝宇星,怎么了
爱上,孙永新,爱上
我的美丽,小霞,小霞 2.0
Begging You,Logic,Listen
桃花诺,G.E.M.邓紫棋,上古情歌 电视剧原声带
那个男人 (Live),The One,我是歌手第三季 第7期
一路向北 (女声版),余不不,一路向北
拿走了什么,黄丽玲,罪恶感
给我一个理由忘记 (Live),黄丽玲,我是歌手第三季 第1期
阿飞的小蝴蝶,萧敬腾,王妃(Live影音限定版)
小城夏天,LBI利比,小城夏天
乌兰巴托的夜 (Live),谭维维,我是歌手第三季 第12期
Letting Go（Cover 蔡健雅）,Euvien,Letting Go
与你到永久（烟嗓）,烟(许佳豪),与你到永久（烟嗓）
根本你不懂的爱我,背風點煙Hamal,一把溫柔刀
我看了56次日落,EN route-T、邹念慈,有人爱 有期待
最,9iay,最
留什么给你 (粤国语版),王晴音乐,留什么给你 (国粤语版)
爱情废柴 (这个冬天会冷吗),余不不,明明就爱情废柴
谢谢你的爱,Dog,谢谢你的爱
一滴泪的时间,刘珉轩,一滴泪的时间
在心里从此永远有个你,办桌二人组,永远的朋友
我终于失去了你,赵传,隐藏的歌手 第七期
女人的选择-烟嗓版,李先生,你我约定有三
潮汐（女声DJ版）,阿音呀,潮汐（女声DJ版）
对你说 DJ,精彩黑影,对你说 DJ
若把你,Kirsty刘瑾睿,若把你
武家坡2021,龍猛寺寬度,武家坡 2021
溜溜的情歌（DJ弹鼓版）（邹某人 remix）,邹某人,2022车载音乐第五集
拥抱你离去,黄晓凤,48小时摇摆
骗子,文夫,骗子
陪你左右,祖峰,欢乐颂 电视原声带
依然爱你,chewie 甲甲甲！,依然爱你
Crazy,BBX、Tony T、Alba Kras,Crazy
犯错 (DJ版),赵允哲,DJ舞曲(抖音热搜)系列 贰
当,林宝馨,当
漫步人生路,邓丽君,邓丽君15周年·30周年(限量版)
贺一航-原来占据你内心的人不是我（董梦杰 remix）,丝竹声韵,老歌经典
如果这就是爱情,佳er,如果这就是爱情
蓝,石白其,蓝
我是真的爱上你,阿冗,我是真的爱上你
呼吸决定,Fine乐团,I'm Sorry
美丽的神话,于佰万,美丽的神话
断点,巧乐兹,断点
哥 只是个传说,陈旭,哥 只是个传说
How to love[刘宪华LoopStation版](L1CeKop Remake),黎车长L1CeKop,Li's Recording
偏爱和例外,烟(许佳豪),偏爱和例外
回家之路 II,徐乐同,《独行月球》电影原声专辑
回家之路 I,徐乐同,《独行月球》电影原声专辑
暖一杯茶,邵帅,暖一杯茶
真的爱着你,Rock-刀客,只想与你相逢2020
下一个天亮,颜人中,月光、背影与海
习惯一个人,刘崇健,习惯一个人
我多想拥抱你,黑屋乐队,玫瑰凭证
你也没有错,王贰浪,你也没有错
大城小爱（完整版）,李家鑫,大城小爱
做我老婆好不好.,小茹同学,祝榕蔚
是非题,粥粥和小伙、粥粥,是非题
好烦噢 (寒风吹进我的家),穆傲寒,好烦噢 (寒风吹进我的家)
Free Loop,Jake＆Eddy,Free Loop
揉碎夜的光 (Live),王靖雯不胖,为歌而赞第二季 第9期
再见莫妮卡,彭席彦、Franky弗兰奇,再见莫妮卡
失落沙洲 ,高睿,失落沙洲
张宇-曲终人散（DamRugar remix）,DamRugar,曲终人散
你过得好吗,刘大拿,你过得好吗
最美好的时光 (Live),陈娴静、范例三、山姆Someshit、桃子A1J、AndyShow安迪秀、KEYNO,最美好的时光 (Live)
孤独的船,王乐蔚,孤独的船
你画的彩虹,姜洋,你画的彩虹
达尔文,蔡健雅,预见爱情
第一次爱的人,王心凌,My! Cyndi!
背对背拥抱,澪恩Seiwen,背对背拥抱
分分钟需要你,林子祥,林子祥精选集
勇往直前（动画片《熊出没之探险日记》主题曲）,卜口生,猪精女孩
怀抱（Cover 弹壳）,GuiltLy,怀抱
嘉宾,路飞文,嘉宾
最后一页（完整版）,洛尘鞅_,最后一页
违背的青春,薛之谦,怪咖
篝火旁,吕大叶、马子林、陈觅Lynne,313
给你呀（又名：for ya）,蒋小呢,for ya
爱的哲学,牟凡,爱的哲学
把回忆拼好给你,王贰浪,把回忆拼好给你
我在等,林宝馨,我在等
根本你不懂得爱我（女生版）,梁爽凉爽,根本你不懂得爱我（女生版）
下雨天,与少年他、芝麻Mochi,下雨天
别怕我伤心,小阿枫,别怕我伤心
你从未离去,于佰万,你从未离去
友情多余暧昧未够,乐思言,友情多余暧昧未够
艺术家,MaySeventeen,艺术家
最爱,阿梨粤,最爱
11,队长、黄礼格,11
雨,沈以诚,以家人之名 影视原声带
Don't Stop,邓典,做作作祟
可惜不是你,一个跑调伟,可惜不是你
就是爱你(正式版),李浩然,就是爱你 (正式版)
当年情 (Live),张国荣,顾听生辉 乐坛大宗师经典半世纪
Dilemma (Remake),Vedo,Dilemma (Remake)
爱不爱我,周晓鸥,追光吧 第1期
红豆,要不要买菜,红豆
风吹过八千里,苏星婕,风吹过八千里
忘不了的是你（新版）,刘大壮,忘不了的是你
指纹,杜宣达,指纹
圆,AGA,Ginadoll
删了吧,烟(许佳豪),删了吧
雪下的时候,伍乐,冬天
富士山下,陈奕迅,What's Going On…?
哪里都是你,队长,哪里都是你
我们的歌（翻自 王力宏）,小山xl,嗨嗨这里是骸歌大人~
危险派对,王以太、刘至佳,危险派对
家在东北,牧歌,牧歌的云音乐
路过人间,郁可唯,时光音乐会 第1期
漠河舞厅,柳爽,1st.星球
情歌,梁静茹,现在开始我爱你
失忆(抖音版),群星,时间是让人措不及防的东西
小镇姑娘,你的九儿,小镇姑娘
第三人称,桃德李Todd Li,第三人称
你的轮廓,叶琼琳,你的轮廓
男孩别哭,海龟先生,海龟先生
这世界那么多人,莫文蔚,这世界那么多人
那年·年少,宋宇宁,那年·年少
上了年纪的男人,大壮,上了年纪的男人
三巡,宋宇宁,四季 - 冬
盛夏,毛不易,平凡的一天
死性不改,陈柯霓（CHENge）,死性不改
最爱,周慧敏,最爱
我最亲爱的(深情男声版),韩小欠,我最亲爱的 (深情男声版)
Kill The Game,Round_2、贰万、早安,Kill The Game
保留,郭顶,飞行器的执行周期
口是心非 (烟嗓版),半吨兄弟,口是心非 (烟嗓版)
大眠 (完整版),小乐哥（王唯乐）,大眠 (完整版)
没那么简单,Mia苗睿婷,翻唱
Here We Go (Original Edit),Klaas、Mazza,Here We Go
一分一寸,阿YueYue、李娜娜_Nana,一分一寸
阿衣莫,阿吉太组合,阿衣莫
我结婚了,阔落,Hedy's music
会呼吸的痛（Cover 梁静茹）,王睿,Cover Song
对不起 我爱你,赵宥乔、陈知远,对不起 我爱你（抖音版）
撕夜,阿杜,Do The Best
雨爱 (完整版),卢卢快闭嘴,雨爱 (完整版)
想你这事儿,燃,想你这事儿
New Boy,房东的猫、陈婧霏,谁是宝藏歌手 第8期
不懂事,刘梓炎,不懂事
风吹一夏,DP龙猪、Swei水、Rays陈袁,风吹一夏
尘土,安朕宇,尘土（单曲版）
梦醒时分,伍佰 & China Blue,单程车票
2002,Anne-Marie,Speak Your Mind
Galway Girl (Koni & Callum McBride Edit),Koni、Callum McBride、Ed Sheeran,Galway Girl
Wake Me Up (Radio Edit),Avicii、Aloe Blacc,Wake Me Up
我还要,盖世爱,我还要
百变酒精,法老,科幻小说
趁早,李琦,热门华语206
那么喜欢你 (＊歌手),萨吉,谁是宝藏歌手 第1期
不舍,颜人中,不舍
肆意的河 (Live),杨宝心,街头音浪 第7期
蝴蝶泉边,黄雅莉,崽崽
还是会想你,林达浪、h3R3,还是会想你
给自己的歌,李宗盛,南下专线
那么骄傲,金海心,那么骄傲
Stay Here Forever,Jewel,"Promo Only: Country Radio, March 2010"
有些,颜人中,失眠症候群
黄昏,周传雄,我们的主打歌
后来,刘大壮,刘大壮的翻唱合辑
当爱来临的时候,吴莫愁,电视剧 你和我的倾城时光 原声带
Mood,24kGoldn、iann dior,Mood
某年某月某天,颜人中,某年某月某天
大风吹,王赫野,大风吹
海底,一支榴莲,《独》
郭源潮,Fody,Fody的翻唱
不怪她,HARIKIRI、Bohan Phoenix、马思唯、J.Mag,339 EP
我难过,5566,MVP情人 电视原声带
今天你要嫁给我 +一无所有（抖音）坐上我的副驾,FAMASLEGENDARY,一无所有
灰色轨迹,Beyond,Beyond 24K Gold 金碟至尊精选
慢热,满舒克,慢热
等到世界颠倒,卢卢快闭嘴,等到世界颠倒
爱我别走,张震岳,秘密基地
有一种悲伤,黄丽玲,比悲伤更悲伤的故事 电影原声带
失恋无罪,黄丽玲,原班情歌流行精选 Original Love Song
你走以后,王恩信Est、二胖u（王訫）,你走以后
萱草花,张小斐,你好，李焕英 电影原声大碟
当爱在靠近,刘若英,Love And The City
好心分手,卢巧音,十年选
你走以后1.0,王恩信Est、二胖u（王訫）,你走以后1.0
后继者,苏晗,后继者
失眠飞行,接个吻，开一枪、沈以诚、薛黛霏,失眠飞行
即兴,小咪,即兴
花.间.酒,澄海伯伯、超级橘子Orange、River,花.间.酒
努力工作吧,赛文,努力工作吧
悔过,王贰浪,悔过
TAT,叶飞,TAT
美人画卷,大神慧,美人画卷
戒烟,李荣浩,戒烟
撒野,凯瑟喵,撒野
难生恨,DAWN,难生恨
变成你的手机 Feat.阿将,唐家豪 JAiHO、Inspirer Gang、阿将,Be your phone
我都明白,范倪Liu,我都明白
Moves Like Jagger,Maroon 5、Christina Aguilera,Moves Like Jagger
Danza Kuduro,Don Omar、Lucenzo,Fast and Furious 5 - Rio Heist (OST)
我爱他,王小帅,我爱他
中间人,Ice Paper,中间人
我知道,吴大文,我知道
周贝勒-谁记得,周贝勒,谁记得
错位时空,艾辰,错位时空
Don’t Wanna Know,Boyce Avenue、Sarah Hyland,"Cover Sessions, Vol. 4"
万拒（吉他版）,就是南方凯（项学凯）,万拒
星辰大海,黄霄雲,星辰大海
还是分开,张叶蕾,还是分开
心墙 (改编版),鸣小明,心墙 (改编版)
一直很安静 (原唱：阿桑),Li-2c (李楚楚),一直很安静
踏山河,七叔-叶泽浩,踏山河
凭什么说,刘心,隔壁家的孩子
凤凰花开的路口,林志炫,绝对收藏林志炫
雨爱,周星星,雨爱
三国恋,Tank,Fighting!生存之道
三号线（吉他版）,刘大壮,三号线
一吻天荒,于佰万,一吻天荒
再怎么爱,尚士达,彩色
会有那么一天,来一口糯米,现场版翻唱
四季予你,程响,四季予你
我应该去爱你,Evan李韩宇,我应该去爱你
Lemon Tree ,Elf-艾菲,Lemon Tree (Cover 刘伟男）
Sweet but Psycho,Sassydee,Sweet but Psycho
DEAR JOHN,野区歌神,DEAR JOHN
画,赵雷,赵小雷
我有多么爱你（吉他版）,刘大壮,我有多么爱你
苦尽甘来,翁梓铭,感·知
我很好（吉他版）,刘大壮,我很好
欢,苏琛,欢
会不会（吉他版）,刘大壮,会不会
秋天不回来 ,刘大壮,秋天不回来
只对你有感觉,要不要买菜,只对你有感觉
认真的雪,薛之谦,薛之谦
猪猪侠,陈洁丽,
Cold,James Blunt,Popstars
偏爱,张芸京,爱情部落格 情歌精选辑
忘不了的是你,刘大壮,忘不了的是你
一荤一素,毛不易,平凡的一天
他只是经过,h3R3、高旭,他只是经过
DAY BY DAY (Japanese Ver.),T-ara,**** Love (Japanese ver.)(通常盤)
是想你的声音啊,傲七爷,是想你的声音啊
想对你好,戴羽彤,想对你好
虚拟,陈粒,小梦大半
最远的你是我最近的爱-小阿枫（翻自 车继铃） ,小阿枫,最远的你是我最近的爱
句号,G.E.M.邓紫棋,摩天动物园
你曾是少年,焦迈奇,你曾是少年
鼓楼,赵雷,无法长大
少年锦时,赵雷,吉姆餐厅
开心真Giao,徐真真、黑猫警长Giao哥、Taisheng Music,开心真Giao
野孩子,杨千嬅,千嬅盛放
平胸女子,枯木逢春,亦是此间少年
爱如潮水,张信哲,张信哲精选
你走,Cheng橙zzzz,你走（完整版）
孤单心事,颜人中,孤单心事
Mayhem,Steve Aoki、Quintino,Mayhem
Toca Toca (Radio Edit),Fly Project,Toca Toca (The Remixes)
下雨天,南拳妈妈,优の良曲 南搞小孩 (新歌+精选)
Beautiful Now,Zedd、Jon Bellion,Go Hard or Go Home - Ministry of Sound
Because of You,Kelly Clarkson,Because Of You
陪你去流浪,薛之谦,尘
天外来物,薛之谦,天外来物
爱笑的眼睛,林俊杰,他是…JJ林俊杰
写给黄淮,邵帅,写给黄淮
爸爸妈妈,李荣浩,有理想
官方回答,OWEN欧阳子文,官方回答
爱，存在,魏奇奇,流星花园 电视原声带
欠我个未来,艾岩,欠我个未来
思念是一种病,张震岳、蔡健雅,OK
雨爱,杨丞琳,Rainie & Love....? 雨爱
爱不爱我,零点乐队,永恒的起点
空心,玄子,空心
飘向北方 (Live),那吾克热-NW、尤长靖,中国新说唱 第10期
好想爱这个世界啊 (Live),华晨宇,歌手·当打之年 第9期
你是我所有的梦,邵帅,我在黄淮
浪流連,茄子蛋,浪流連
Sex on the Beach (Paolo Ortelli Vs Degree Edit),Spankers,Sex on the Beach
致遥远的你,龚子婕JessieG,致 遥远的你
永不失联的爱,周兴哲,如果雨之后
穷极一生到不了的天堂,喻言家,穷极一生到不了的天堂
与我无关,阿冗,与我无关
我要找到你,Zic子晨,我要找到你
二零三,毛不易,小王
消愁,毛不易,平凡的一天
借,毛不易,平凡的一天
你懂得（完整版）,李家鑫,你懂得（完整版）
第三人称,买辣椒也用券,第三人称
勇气,棉子,勇气
老友记,李荣浩,麻雀
#Lov3 #Ngẫu Hứng,Hoaprox,#Lov3 #Ngẫu Hứng
连名带姓,尤长靖,连名带姓
麻雀,李荣浩,麻雀
【3D】We Don't Talk Anymore,Nisw,3D
我的姑娘 她在远方,隔壁老樊,我的姑娘 她在远方
中毒,光泽,中毒
影子（Cover 吴琼）,洛尘鞅_,影子离不开光
小情歌,苏打绿,小宇宙
拾忆（抖音版）,王巨星,拾忆
你的答案,阿冗,你的答案
泰安人的歌 feat.李者,李若瑀,泰安人的歌
狮子座-宋煜材,宋煜c,狮子座
那就晚安,尚士达,彩色
太阳,野区歌神,太阳
世间美好与你环环相扣,柏松,听闻余生
十二,留声玩具,曾以为梦想遥不可及
大田後生仔,丫蛋蛋,大田後生仔
年轮说,吴奕妤,年轮说
情字难,糯米Nomi,情字难
往事如烟 (DJ.Gary龙少 Mix),蓝波,往事如烟
芒种 ,嘿人李逵Noisemakers,芒种
勇气,梁静茹,勇气
没有人心疼我,方宇杰,没有人心疼我
有幸,赵砚卿,有幸
忽而今夏,汪苏泷,忽而今夏 电视剧珍爱原声大碟
如果来生还能遇见你,郝云,活着
耿,汪苏泷,耿
山楂树之恋,程佳佳,山楂树之恋 (完整版)
其实我想说的还有很多,前男友,其实我想说的还有很多
我走后,小咪,我走后
你是人间四月天,邵帅,你是人间四月天
孤身,徐秉龙,孤身
祝你爱我到天荒地老,颜人中、VaVa毛衍七,祝你爱我到天荒地老
这一生关于你的风景,枯木逢春,亦是此间少年
你的姑娘,隔壁老樊,我曾
四块五,隔壁老樊,我曾
关于孤独我想说的话 ,隔壁老樊,我曾
多想在平庸的生活拥抱你,隔壁老樊,我曾
Touch The Sky,Cedric Gervais、Dallas Austin、Digital Farm Animals,Armada Music Top 100 (Mini Mix 001)
晚安,颜人中,晚安
世本常态,隔壁老樊,我曾
我曾,隔壁老樊,我曾
胆小鬼,梁咏琪,梁咏琪 同名专辑
只是太爱你,张敬轩,是时候…
绿色,陈雪凝,绿色
都选C-乔杉版(《缝纫机乐队》电影插曲)（Cover 乔杉）,郑德超,《缝纫机乐队》电影原声
不再犹豫 (Remix版),大鹏、黄贯中、叶世荣,缝纫机乐队 电影原声音乐
春风十里,鹿先森乐队,所有的酒，都不如你
杀死那个石家庄人,万能青年旅店,万能青年旅店 同名专辑
像鱼,王贰浪,像鱼
千禧,徐秉龙,千禧
足够,周星星,足够
假装,陈雪凝,拾陆
明年今日 (2007 Live),陈奕迅,Eason Moving On Stage 1 (Live)
天份,薛之谦,怪咖
some（Cover Soyu &郑基高）,吕行mErcen、夕柠,翻唱辑
春夏秋冬的你,王宇良,春夏秋冬的你
痴心绝对,李圣杰,痴心绝对
太早,刘允乐,允乐
说书人,暗杠、寅子,说书人
喜欢,阿肆,喜欢
写给黄淮（demo）,邵帅,我在黄淮
水星记,郭顶,飞行器的执行周期
月牙湾（翻自 A-Lin）,AshleyByun,月牙湾
浪子回头,王玉萌,浪子回头 (cover 茄子蛋)
你一定要幸福 (cover 何洁),简弘亦,你一定要幸福 (cover 何洁)
云烟成雨,房东的猫,云烟成雨
醒着醉,马良,往后余生
沙漠骆驼,展展与罗罗,沙漠骆驼
不染,毛不易,香蜜沉沉烬如霜 电视原声音乐专辑
相依为命,陈小春,十年选
你是年少的欢喜,王贰浪,你是年少的欢喜
小半,陈粒,小梦大半
年少有为,李荣浩,耳朵
侧脸,于果,侧脸
可不可以,张紫豪,可不可以
像风一样,薛之谦,渡
Hall of Fame,The Script、will.i.am,#3 Deluxe Version
虹之间,金贵晟,爱情公寓4 电视原声带
岁月神偷,金玟岐,完美世界
最好,薛之谦,怪咖
爱都爱了,小洲,爱都爱了
房间-新版,刘瑞琦,房间-新版
A Little Story,Valentin,A Little Story
That Girl,Olly Murs,24 HRS (Deluxe)
肆无忌惮,薛之谦,怪咖
哑巴,薛之谦,怪咖
寂寞先生,马英伦,寂寞先生
往后余生,马良,往后余生
感谢你曾来过,周思涵、Ayo97,卧龙与酒
我们俩,郭顶,微微
起风了,买辣椒也用券,起风了
烟火里的尘埃,华晨宇,烟火里的尘埃
你，好不好？,周兴哲,爱，教会我们的事
纸短情长 (完整版),烟把儿,纸短情长
为你我受冷风吹,茜拉,超级歌单 第十期
洋葱 (Live),茜拉,我是歌手第二季 半决赛
最长的电影,茜拉,我是歌手第二季 第8期
呼儿嘿哟,李春波,一封家书
爱的就是你,刘佳,爱的就是你
宽容,许佳慧,宽容
想太多,Jason Chen,节省钱
一生所爱,卢冠廷,Beyond Imagination
你说这样分手,白小白,最美情侣
过去的照片,白小白,最美情侣
最美情侣,白小白,最美情侣
男孩,梁博、陶孟童、肖和东、高誉容,我想和你唱 第二季 第7期
未完成的歌,薛之谦,未完成的歌
丑八怪,薛之谦,意外
其实,薛之谦,意外
千千阙歌,陈乐基&killersoap杀手锏,超级歌单 第三期
方圆几里,薛之谦,意外
Samsara,Tungevaag & Raaban,Mujeres y Hombres y Viceversa: Los Hits del Verano 2015
你就是我最想要的丫头,赵照,你就是我最想要的丫头
空白格 (Live),杨宗纬,我是歌手第一季 第5期
Love Yourself,Justin Bieber,BRIT Awards 2017
国王与乞丐,华晨宇,2016安徽卫视国剧盛典现场原音
我终于成了别人的女人,薛之谦,几个薛之谦
我知道你都知道,薛之谦,几个薛之谦
兄弟无悔,赵小炮,兄弟无悔
他不懂 (Live),张杰,我是歌手第二季 双年巅峰会
勿忘心安 (Live),张杰,我是歌手第二季 第3期
Please Don't Go,Joel Adams,Please Don't Go
暧昧,薛之谦,渡
动物世界,薛之谦,渡
到不了,李代沫,遗憾
野子 (Live),苏运莹,我是歌手第四季 第3期
花儿和少年,薛之谦,初学者
为了遇见你,薛之谦,几个薛之谦
初学者,薛之谦,初学者
我好像在哪见过你,薛之谦,初学者
意外,薛之谦,意外
真的爱你,Beyond,Beyond 25th Anniversary
刚刚好,薛之谦,初学者
吻别,金志文,超级歌单 第十二期
迎着风（电影《四平青年之浩哥大战古惑仔》主题曲）,蓝波,《四平青年之浩哥大战古惑仔》影视原声带
南方姑娘,赵雷,赵小雷
成都,赵雷,成都
你还要我怎样,薛之谦,意外
都要好好的,小沈阳、沈春阳,都要好好的
认真的雪,薛之谦,未完成的歌
演员,薛之谦,绅士
我好想你,苏打绿,小时代 电影原声带
阴天快乐,陈奕迅,Rice & Shine
爱情转移(国),陈奕迅,The 1st Eleven Years 然后呢？
