歌曲名,艺术家,专辑名
红玫瑰(国),陈奕迅,The 1st Eleven Years 然后呢？
告白气球,周杰伦,周杰伦的床边故事
悟空,戴荃,悟空 (Live版)
BBoom BBoom,Leona甲子,Momoland《Great！》 一起来蹦迪 Cover
Antique Gucci,Cryptex,Antique Gucci (Cryptex Mashup)
Madu Dan Racun7,7GE,琦哥很情调
Ei Ei,偶像练习生,
纸短情长,烟把儿乐队,纸短情长
Madu Dan Racun,Bill & Brod,The Best Of Bill & Brod Vol 01
極楽浄土,GARNiDELiA,
Something Just Like This,Anthony Keyrouz/Romy Wave,
小跳蛙,青蛙乐队,
不再联系,夏天Alex,不再联系
故梦,双笙 (陈元汐),故梦(翻唱)
藏,徐梦圆、双笙 (陈元汐),徐梦圆 同名专辑
有美人兮,音阙诗听、赵方婧、王梓钰,有美人兮
小幸运,田馥甄,小幸运
一个歌手的情书,周三,
要死就一定要死在你手里,谭维维,我是歌手 2015巅峰会
9277,百变,Rng牛批
做你的猫,尚文婷,做你的猫
我的将军啊,梨花少,我的将军啊
Thunder / Young Dumb & Broke,Imagine Dragons、Khalid,Thunder / Young Dumb & Broke (Medley)
董小姐,宋冬野,摩登天空7
"再见吧,喵小姐",匿名出演,匿名出演 电影原声带
Proud Corazón,Anthony Gonzalez,Coco (Original Motion Picture Soundtrack)
即刻出发,吉克隽逸,[即刻出发]·北京演唱会 Live
彩色的黑,吉克隽逸,歌手·当打之年 第8期
感谢你曾来过,Ayo97、周思涵,卧龙与酒
L.A. Love Song,XYLØ,America
万物High,萨顶顶、常石磊,梦想星搭档 第一季第九期
天路,韩红,
九儿,韩红,红高粱 电视剧原声带
听海,张惠妹,2张皇牌精选辑
Mad Hatter,Melanie Martinez,
学猫叫,小潘潘(潘柚彤)、小峰峰(陈峰),学猫叫
CHINA-2,Sand,可能你不快乐
张三的歌,蔡琴,惠威试音天碟Ⅴ
往返,TSAR,往返
Yin Yang（隂陽）,MT Boxer,Yin Yang（隂陽）
This Little Girl,Nightcore,
后来的我们,五月天,自传
天生CP,刘阳阳,天生CP
Love U,Y U Jay,默认专辑
SAKURA,Che'Nelle,SONGBIRD SIMPLY BEAUTIFUL VOICES
盖世英雄,王力宏、欧阳靖、李岩,盖世英雄 (日本版)
My Long Forgotten Cloistered Sleep,梶浦由记,
Volar,Alvaro Soler,Eterno Agosto
Just a Dream,Christina Grimmie、Sam Tsui,Just a Dream
离人愁,黄麒Eros,离人愁
嗯,李荣浩,嗯
你把我灌醉,G.E.M. 邓紫棋,THE BEST OF 2008-2012(Second Version)
好心分手,卢巧音、王力宏,
我爱你,S.H.E,ENCORE 安可!!
Love Love Love,蔡依林,城堡
我看着你的时候,李荣浩,嗯
사랑해요只对你说,林俊杰,曹操
长镜头,杨宗纬,我是歌手 2015巅峰会
东京不太热,洛天依,东京不太热
只对你有感觉,飞轮海、田馥甄,东方茱丽叶 电视剧原声带
Maps,Maroon 5,Maps
Count On Me,Connie Talbot,Beautiful World Special Edition
盗将行,花粥、马雨阳,粥请客（二）
突然想起你,林宥嘉,有时THE GREAT YOGA 有时口的形状 林宥嘉演唱会自选LIVE (上)
突然想起你,萧亚轩,Elva Wow3
Here with You,Lost Frequencies、Netsky,Here with You
遗憾,李代沫,梦响新歌声 2012跨年演唱会
行星,谭联耀,行星
Girls,Marcus & Martinus、Madcon,Together
一番星,田井中彩智,Lipstick / 一番星
狂浪生,一棵小葱、李宗南,狂浪生
我已经爱上你,情词尧、二郎,一秒钟而已
Stay With Me,崔由美,
Promise,山岡晃,
Hurt,Johnny Cash,American IV: The Man Comes Around
Move Your Body,Sia、Alan Walker,This Is Acting (Deluxe Version)
私奔,曾轶可,2022
知了的歌,徐梦圆、银临,徐梦圆 同名专辑
西安超人,程渤智,西安超人
不必说抱歉,胡66,不必说抱歉
请别说爱我,胡66,请别说爱我
HandClap,Fitz and The Tantrums,
HandClap,Fitz And The Tantrums,
Faded,Alan Walker,Faded
Routine,Alan Walker,
房间,刘瑞琦,
浪人琵琶,胡66,浪人琵琶
你还怕大雨吗,周柏豪,8
藏,徐梦圆、双笙 (陈元汐),徐梦圆 纯音乐版
Friendships,Pascal Letoublon,
猜猜看,曾之乔,稍息立正我爱你 电视剧原声带
Ignite,Alan Walker、K-391,Ignite (Instrumental)
Sing Me to Sleep,Alan Walker,Sing Me to Sleep (Marshmello Remix)
Sing Me to Sleep,Alan Walker、OveRcurrent,
Sing Me to Sleep,Alan Walker,Sing Me to Sleep
Alone,Alan Walker,Alone
心做し,GUMI、蝶々P,EXIT TUNES PRESENTS GUMical from Megpoid
成长之重量,李荣浩,耳朵
China-X,徐梦圆,
Rickin' With The Best,Bomfunk MC's,Burnin' Sneakers
"儿子,我是你爸爸",王宝,"儿子,我是你爸爸"
可能否,木小雅,可能否
青梅竹马,陈秋含,青梅竹马
快给我点个赞,跟风超人,快给我点个赞
孙大圣,龙井说唱,
期待爱,林俊杰、金莎,原来我不帅 电视原声带
浪子回头,王玉萌,浪子回头
Break Up in a Small Town,Sam Hunt,X2C
East of Eden,Zella Day,Zella Day
East of Eden,StéLouse,Remixes & flips
East of Eden,Zella Day,Digster Live Session
Way Back Home,SHAUN,
Lemon,米津玄師,レモン
买条街,$唐老师、Wya乌鸦,买条街
当妮走了,徐真真,当妮走了
我抬头一看满街都是单身的狗,花粥,2018(注意保暖)
The Darkness,Built By Titan、Svrcina,Alpha
唐人,孙子涵,唐朝好男人 电视剧原声带
Won't Back Down,Benjamin Francis Leftwich、Boehm,Won't Back Down (Boehm Remix)
王牌冤家,李荣浩、ICE,中国新说唱 第10期
棠梨煎雪,徐梦圆,音乐好朋友 第二季
Wait Wait Wait,蔡徐坤,浙江卫视“领跑2019”爱你依旧演唱会
年少有为,李荣浩,耳朵
光年之外,高士其,3D环绕音乐
情非得已,何维健、Trouze、Sam Feldt,情非得已（电音版）
Frontier,Doctor Vox,
Frontier,Vinai、SCNDL,
Frontier,Cargo、Vinai、SCNDL,Frontier (Cargo Remix)
DDU-DU DDU-DU,BLACKPINK,DDU-DU DDU-DU (Japanese Ver.)
Take My Hand,Simple Plan,Simple Plan (Napster Exclusive   Explicit)
去年夏天,王大毛,去年夏天
PPAP,周彦辰、朱正廷、周锐、王子异、蔡徐坤,偶像练习生 第一季
How To Love,Cash Cash、Sofia Reyes,How to Love [Remixes]
不染,萨顶顶,香蜜沉沉烬如霜 电视原声音乐专辑
时间飞行,白宇、朱一龙,镇魂 影视原声大碟
This Is Me,Keala Settle、The Greatest Showman Ensemble,This Is Me (Alan Walker Relift) (From ""The Greatest Showman"")
最美婚礼,白小白,最美婚礼
病名为爱,言和、乐正绫,病名为爱（言绫+明龙·中文版）
星球坠落,艾热AIR、JelloRio李佳隆,中国新说唱 第3期
Three Pass,那吾克热-NW、ICE,中国新说唱 第2期
残桥,陶心瑶,残桥
She,Groove Coverage,She
Trouble I'm In,Twinbed,In Your Eyes (Original Motion Picture Soundtrack) (你眼中的世界 电影原声带)
All About That Bass,Meghan Trainor,Ready to Slim
Lover Boy 88,Phum Viphurit、Higher Brothers,Lover Boy 88
时间轴,赵紫骅,第一首音乐故事
越来越不懂,蔡健雅,Goodbye & Hello
Pretty Girl,Maggie Lindemann、Cheat Codes、CADE,
Tuesday,Burak Yeter、Danelle Sandoval,Tuesday (feat. Danelle Sandoval) (Harmo & Vibes Remix)
Ride it,Jay Sean,Ride It
Ride It,Remix、Regard,remix
Dissolve,Absofacto,Thousand Peaces
Coming Home,Dash Berlin、Bo Bruce,Big Room (Explicit)
Cheap Thrills,Sia,This Is Acting
keep running,Lost Team,keep running
给我一个吻,杨子姗,给我一个吻
Love Story,Edward Maya,
Love Story,Taylor Swift Tribute Band,Karaoke Hits Mania! Vol 2 - 50 Vocal and Non vocal specially recorded Karaoke versions of the top hits!
怎样,戴佩妮,雀巢咖啡 精彩节拍
風の住む街,饭碗的彼岸,风居住的街道（Piano ver）
水星记,郭顶,水星记
Home,王诗安,Home
鲸鱼恋,何易涵,藥音乐
下雨了,薛之谦,绅士
她,王思远,中国好歌曲第一季 第二期
那个石家庄人,卡门、青年海伦,杀死那个石家庄人（公路之歌）
幸福了 然后呢,A-Lin,幸福了 然后呢
写给黄淮,邵帅,我在黄淮
EA7-Tokyo Mashup,Bater official,EA7-混音版全网最火
Tokyo,DJ_Beat老果,TOKYO
起风了,吴青峰,我们的主题曲Vol.2
Strapped,FOOL,Strapped (Explicit)
Dangerous,David Guetta、Sam Martin,Dangerous (Extended) (危险)
戒不掉,欧阳耀莹,
光年之外,G.E.M. 邓紫棋、艾热AIR,光年之外 (热爱版)
达拉崩吧,双笙 (陈元汐),达拉崩吧
Horizon,Janji,
Coming Home,A.N.O,Coming Home
Love Yourself,Matty B,MattyB翻唱合集
All Time Low,Jon Bellion,All Time Low
All Time Low,Sam Tsui、Casey Breves、Kurt Hugo Schneider,
Counting Sheep,SAFIA,Embracing Me - EP
Bomba,Jessy Matador,Elektro Soukouss
改变自己,黄致列,我是歌手第四季 第十期
念诗之王,小可儿,念诗之王
太多,陈冠蒲,就让你走
单恋一枝花,张宇,
离岛之歌,東山奈央,离岛之歌
爸爸妈妈,王蓉,多爱
Maria,华莎,2020 Mnet Asian Music Awards
小王日记,毛不易,小王
AFK就很棒,一条小团团ovo,AFK就很棒 (《剑与远征》品牌态度曲)
We Can Be Together,XYPO、M. Fischer,We Can Be Together
China,Dirty Class,
你是人间四月天,邵帅,你是人间四月天
天下,邓寓君(等什么君),天下
Count The Hours,BEAUZ、Nevve、Kastilione,Count The Hours
天下没有不散的筵席,郑钧,第三只眼
the remedy for a broken heart,XXXTENTACION,
岑宁儿-追光者remix,GR轩、欧阳鹏oyp,追光者remix
下山,要不要买菜,下山
I Want You To Know,Pegato、Hella,I Want You To Know (Hella x Pegato Remix)
哈尼宝贝,南征北战NZBZ,
我不是你的宋冬野,林啟得,我不是你的宋冬野
Panic Room,Au/Ra,Panic Room (Acoustic)
上山,血肉果汁机,血肉讲鬼：老宅豪门
都走了,杨和苏KeyNG、张馨月,加冕
Out of Time,Cubicore、Eric Lumiere、shane 54,Out of Time (GhostDragon Remix)
左手指月,萨顶顶,我们的主题曲Vol.1
Outside,Calvin Harris、Ellie Goulding,Motion
Kyle Xian - Always in my heart,青春,『钢琴曲』
Scarborough Fai,Kyle Xian,
Something Just Like This,AnDyWuMUSICLAND,Something Just Like This
Roundabout,Yes,Fragile
你的答案,阿冗,你的答案
空心,光泽,光泽
Happy Halloween,柊優花、鎖那,天声絶唱 INDEX ~BEST OF 歌ってみた~
DDU-DU DDU-DU,BLACKPINK,BLACKPINK IN YOUR AREA TOUR: STUDIO VERSIONS [Japanese Edition]
Forget It,Tree、Getter,Radical Dude!
Clear,Shawn Wasabi、Mothica、Pusher,
Alive,Blue,The Platinum Collection (白金典藏)
Buttercup,Jack Stauber,buttercup
Beautiful Girl,权正烈、RGP,
Cradles,Sub Urban,Cradles
这么久没见,薛之谦,尘
醉仙美,娜美,醉仙美
像鱼,王贰浪,像鱼
芒种,音阙诗听、赵方婧,二十四节气
谷雨,音阙诗听、赵方婧,二十四节气
霜降,音阙诗听/赵方婧,
小暑,音阙诗听、赵方婧,二十四节气
关山酒,邓寓君(等什么君),关山酒
关山酒,小魂,关山酒
若是情长,六哲,若是情长
若是情长,六哲,
人间不值得,黄诗扶,人间不值得
攀登,潘玮柏、G.E.M. 邓紫棋、艾热AIR,中国新说唱 第13期
Lolita,Voxlight,
哪吒闹,大张伟,20是件更美好的事
Trippy Love,Vexento,
Come and Get Your Love,Redbone,Wovoka
That Girl,Olly Murs、摩登兄弟刘宇宁、CORSAK胡梦周,That Girl (CORSAK Remix)
你的酒馆对我打了烊,陈雪凝,你的酒馆对我打了烊
盗御马,徐良,盗御马
WTF,HUGEL、Amber Van Day,WTF (The Remixes) [Explicit]
从开始到现在,张信哲,弦歌有你
盗墓笔记,李常超（Lao乾妈）,
越伤越爱,何洁,想要回到 何洁
越长大越孤单,牛奶咖啡,越长大越孤单
再见,G.E.M. 邓紫棋,新的心跳
再见,秦洋,再见
再见前任,冯提莫,再见前任
在那不遥远的地方,许嵩,寻雾启示
在我的BGM里你不可能打败我（《爱情公寓番外篇之开心原力》主题曲）,ATF,喊我的名字吧
站起来,南征北战NZBZ,
战舞,沈懿,大灌篮 电影原声带
战争世界,姚贝娜,1/2的我
我的世界,洛天依、初音ミク,在线热搜歌曲系列5
有何不可,许嵩,自定义
唯一,王力宏,
友情出演,徐良,徐良原创合集
有桃花,许嵩,不如吃茶去
有一个地方叫远方,曾昭玮,有一个地方叫远方
御龙铭千古,林志炫,天美十年典藏:全明星音乐特辑
御龙品青梅,刘惜君,御龙在天 游戏原声带
御龙三国志,林俊杰,御龙在天 游戏原声带
御龙耀九天,周笔畅,御龙在天 游戏原声带
御龙吟,姚贝娜,御龙在天 游戏原声带
宇宙之大,许嵩,不如吃茶去
元气封神,河图、音频怪物,元气封神
忆似故人曲,兔裹煎蛋卷,热门华语268
一吻天荒,胡歌,轩辕剑之天之痕 电视剧原声带
一笑倾城,汪苏泷,微微一笑很倾城 电视剧原声带
一眼千年,那英,一眼千年
一眼瞬间,萧敬腾、张惠妹,Star
大城小爱,王力宏,盖世英雄
一夜成长,于文文,写一夜心跳
阴阳先生,洛天依、言和,阴阳先生
永不消逝,金志文,永不消逝
勇侠青春謳,ALI PROJECT,勇侠青春謳
有点甜,汪苏泷、BY2,万有引力
一不小心,颜小健,一不小心
一个人,夏婉安,一个人
衣冠上国,洛天依、音阙诗听,衣冠上国
你不知道的事,王力宏,十八般武艺
忆红莲,洛天依,忆红莲
一念,冯提莫,一念
一念天堂,张磊,一念天堂
依然爱你,王力宏,王力宏 2019福利秀台北大安森林公园LIVE专辑
医生,许嵩,苏格拉没有底
一生所爱,舒淇,西游·降魔篇 电影原声带
星座书上,许嵩,自定义
雪,杜婧荧、王艺翔,孤独的乐章
寻龙记,郁可唯,寻龙记
燕归巢,许嵩,燕归巢
Watch Me Do It,MC HotDog 热狗、顽童MJ116、江静(呆宝静),煎饼侠
演员,薛之谦,绅士
一半,薛之谦,初学者
爱一点,王力宏、章子怡,你的爱。
小鸡哔哔,Various Artists,
小酒窝,林俊杰、蔡卓妍,JJ陆
小明还是Lovely Girl,小黑mk、小明,小明还是Lovely Girl
小星星,汪苏泷,汪苏泷原创合集
新的心跳,G.E.M. 邓紫棋,新的心跳
新生代,Lil Ghost小鬼,新生代
心之焰,G.E.M. 邓紫棋,心之焰
星期天,曲肖冰,星期天
星星,曾昭玮,星星
星月神话,金莎,星月神话
星座,王力宏,心中的日月
无敌,邓超,无敌
五环之歌,岳云鹏、MC HotDog 热狗,煎饼侠
无尽的思念,林俊杰,编号89757
梧桐灯,许嵩,不如吃茶去
无问,毛不易,无问
无问,谭维维,无问
想象之中,许嵩,苏格拉没有底
小孩,薛之谦,初学者
我的心在海对面,杨栋梁、夏婉安,我的心在海对面
我很喜欢,许嵩,许嵩早期单曲集
我们爱过就好,黄龄、薛之谦,几个薛之谦
我们的恋爱是对生命的严重浪费,许嵩,寻雾启示
我是大主宰,黄子韬,我是大主宰
我无所谓,许嵩,寻雾启示
我想大声告诉你,樊凡,我想大声告诉你
我要你,任素汐,我要你
我要你,老狼、任素汐,我要你
我知道你,励阳、徐君,Dream Start
王者荣耀,宋孟君、格子兮,王者荣耀
微博控,许嵩,苏格拉没有底
为什么,薛之谦,几个薛之谦
为什么,欧阳辉,为什么
吻和泪,米雅,王雅洁LPCD45-翻唱
稳稳的幸福,陈奕迅,稳稳的幸福
我变了 我没变,杨宗纬,我变了 我没变
我的Baby,许嵩,许嵩早期单曲集
我的天空,南征北战NZBZ,我的天空
我的舞台,张杰,我的舞台
饕餮,南征北战NZBZ,饕餮
天后,回音哥,
天灰灰,童可可,天灰灰
天净沙秋思,白亮,天净沙秋思
天使,许嵩,许嵩早期单曲集
通关,许嵩,通关
退,蒋蒋,庸医
晚安喵,艾索,罗小黑战记系列歌曲
万万,赵英俊、万万天团,万万没想到：西游篇 电影原声带
万有引力,汪苏泷,汪苏泷原创合集
十年,梁朝伟、李宇春,十年
双人旁,许嵩,苏格拉没有底
水墨丹青,李玉刚,新贵妃醉酒
说散就散,艾福杰尼、黄旭、田羽生,说散就散
死了都要 • 爱,G.E.M. 邓紫棋,死了都要 · 爱
素颜,许嵩、何曼婷,素颜
孙尚香,后弦、柳岩,岩色
他是个饶舌歌手,国蛋 GorDoN,Dr. Paper Vol.1
她说,林俊杰,她说 概念自选辑
叹服,许嵩,寻雾启示
唐人街,李宇春,唐人街探案 电影原声带
舌尖上的胖胖,馒头,舌尖上的胖胖-翻唱
摄影艺术,许嵩,青年晚报
谁的青春不青春,南方小镇,谁的青春不青春
神经病之歌,言和、洛天依,虚拟游乐场
什么鬼,吴君如、papi酱、熊梓淇,什么鬼
绅士,薛之谦,绅士
深夜书店,洛天依、许嵩,深夜书店
生死劫,五音Jw、银临,聆音
时光恋人,周子琰、金志文,时光恋人
时空交错,蒋蒋、袁攀,姑苏慕容
如果有如果,熊俊天,如果有如果，可惜没如果
萨瓦迪卡,南征北战NZBZ,萨瓦迪卡
赛马之赛草泥马,黄昌平2洛天依,洛天依精选集 二
散场电影,许嵩,许嵩早期单曲集
三国杀,汪苏泷,好安静
三角题,二珂,带着音乐去旅行
傻瓜不准难过,威仔、夏凌兮,傻瓜不准难过
杀手,林俊杰,西界
山水之间,许嵩,不如吃茶去
上火星球,徐良,上火星球
上邪,小曲儿,曲倾天下
伤雪,雪无影,2012孤身只影
情话微甜,李朝、王圣锋,情话微甜
倾尽天下,河图,河图精选
清明上河图,李玉刚,新贵妃醉酒
清明雨上,许嵩,自定义
去你妹的撩妹,封茗囧菌,去你妹的撩妹
全球变冷,许嵩,梦游计
全世界都在说东北话,DBboys组合,全世界都在说东北话
雀跃,任然、小来,雀跃
让我留在你身边,唐汉霄,
认错,许嵩,自定义
如果爱忘了,戚薇,如果爱忘了
如果当时,许嵩,自定义
如果我爱你,张一山、周冬雨,如果我爱你
气球,沙娅,气球
七夕,许嵩,不如吃茶去
千百度,许嵩,苏格拉没有底
浅唱,许嵩,许嵩早期单曲集
千古,许嵩,千古
倩女幽魂,张国荣,Summer Romance
牵丝戏,排骨教主,牵丝戏
晴,汪苏泷,传世乐章
青花,周传雄,蓝色土耳其
情话微甜,李朝/王圣锋,
那又如何,应嘉俐,那又如何
"你好,疯子!",Ella陈嘉桦,"你好,疯子!"
逆流成河,金南玲,来生
年轮,汪苏泷,花千骨 电视剧原声带
年轻的战场,张杰,听!我们的歌
女骑士,徐良,情话
欧皇,薛黛霏、朱贺,欧皇
泡沫,G.E.M. 邓紫棋,Xposed
皮卡丘,黄浩然,皮卡丘
没朋友,回音哥,都给你
梦想岛,SNH48,梦想岛
梦想明月曲,崔子格,梦想明月曲
默,那英,默
木乃伊,林俊杰,编号89757
牧野往事,阿兰,十念
娜样纯杰的爱恋,张杰、谢娜,娜样纯杰的爱恋
拿着烟斗的男孩,徐良,情话
内线,许嵩,自定义
小跳蛙,夏婉安,夏婉安《翻唱合集》
姥姥说,郝云、唐宁、金天,姥姥说
累不累,汪苏泷,汪苏泷原创合集
两者之间,回音哥,两者之间
林中鸟,葛林,林中鸟
庐州月,许嵩,寻雾启示
眉飞色舞,群星,野狼王的士高
美了美了,汤潮、小沈阳,美了美了
井底之囚,徐良,东西世界
惊鸿一面,许嵩、黄龄,不如吃茶去
敬酒不吃,许嵩,苏格拉没有底
九九八十一,叶洛洛、西瓜JUN、泥鳅Niko、知性的小方块,九九八十一 (柔情版)
酒僧,李雨,鱼里言吾
就是我,林俊杰,乐行者
九张机,叶炫清,九张机
就这样大声呐喊吧,熊梓淇,PART ONE
绝不会放过,王亚东,绝不会放过
看不见的风景,许嵩,许嵩早期单曲集
靠近一点点,勺子、凉穗,
空白格,杨宗纬,空白格
江湖啊江湖,小沈阳,大笑江湖
降温,许嵩,苏格拉没有底
姐姐,李雨,鱼里言吾
解药,孙紫晴,解药
解药,封茗囧菌,解药
矜持,姚贝娜,矜持
今年勇,许嵩,今年勇
禁区,黄龄,龄·EP
火星研究院,汪苏泷,火星研究院
记得,林俊杰,I AM 世界巡回演唱会
极乐净土,小因index,极乐净土小因版
极速传奇,阿悄,极速传奇
极速梦想,潘辰,天美十年典藏:全明星音乐特辑
記憶~君がくれた道標~,T-ara,Queen of Pops
加油,林俊杰、MC HotDog 热狗,100天
煎饼侠,谭维维,煎饼侠
煎饼侠,赵英俊,以电影的名义歌唱
煎饼侠,胡彦斌,煎饼侠
煎饼侠,赵英俊,煎饼侠
花儿和少年,薛之谦,初学者
画话花,李在元,It's the time
华胥引,河图,华胥引
坏孩子,许嵩,自定义
坏女孩,徐良、小凌,徐良原创合集
灰色头像,许嵩,寻雾启示
回忆总想哭,南宫嘉骏、姜玉阳,回忆总想哭
火力全开,王力宏,火力全开
火星情报局,华晨宇,火星情报局
好好说再见,陶喆、关诗敏,再见你好吗
和平商店,回音哥,和平商店
黑色蝴蝶,汪苏泷,传世乐章
红蔷薇白玫瑰,G.E.M. 邓紫棋,红蔷薇白玫瑰
红颜,胡彦斌,音乐混合体
红昭愿,音阙诗听,红昭愿
后会无期,汪苏泷、徐良,不良少年
蝴蝶的时间,许嵩,蝴蝶的时间
狐言,河图、洛天依,狐言
歌手,徐良,请在哔声后留言
给我乖,孟佳,给我乖
跟屁虫,林俊杰,100天
孤独,洛天依,孤独
故梦,橙翼,原创作品集
广东爱情故事,广东雨神,广东爱情故事
归,龙井说唱,龙井说唱
过得好吗,校长(张驰),过得好吗
还魂门,胡彦斌,还魂门
寒衣调,河图,河图精选
粉色信笺,许嵩,许嵩早期单曲集
风度,汪苏泷,汪苏泷原创合集
凤凰劫,河图,河图精选
风月,黄龄,龄·EP
感觉自己萌萌哒,贾玲、刘维,感觉自己萌萌哒
感觉自己是巨星,毛不易,感觉自己是巨星
干物女 (WeiWei),封茗囧菌,封茗囧菌翻唱合辑
刚好遇见你,李玉刚,刚好遇见你
等我回家,薛之谦,意外
东京不太热,封茗囧菌,封茗囧菌翻唱合辑
豆浆油条,林俊杰,第二天堂
断桥残雪,许嵩,许嵩早期单曲集
多余的解释,许嵩,自定义
恶魔的爱,李宏毅、李明霖,恶魔的爱